team_id,team_name,slug,image_url,league,season
42,Arsenal,arsenal,https://api.sofascore.app/api/v1/team/42/image,Premier League,2019/2020
31,Leicester City,leicester-city,https://api.sofascore.app/api/v1/team/31/image,Premier League,2019/2020
30,Brighton & Hove Albion,brighton-and-hove-albion,https://api.sofascore.app/api/v1/team/30/image,Premier League,2019/2020
40,Aston Villa,aston-villa,https://api.sofascore.app/api/v1/team/40/image,Premier League,2019/2020
60,Bournemouth,bournemouth,https://api.sofascore.app/api/v1/team/60/image,Premier League,2019/2020
3,Wolverhampton,wolverhampton,https://api.sofascore.app/api/v1/team/3/image,Premier League,2019/2020
17,Manchester City,manchester-city,https://api.sofascore.app/api/v1/team/17/image,Premier League,2019/2020
37,West Ham United,west-ham-united,https://api.sofascore.app/api/v1/team/37/image,Premier League,2019/2020
263,Norwich City,norwich-city,https://api.sofascore.app/api/v1/team/263/image,Premier League,2019/2020
7,Crystal Palace,crystal-palace,https://api.sofascore.app/api/v1/team/7/image,Premier League,2019/2020
33,Tottenham Hotspur,tottenham-hotspur,https://api.sofascore.app/api/v1/team/33/image,Premier League,2019/2020
35,Manchester United,manchester-united,https://api.sofascore.app/api/v1/team/35/image,Premier League,2019/2020
45,Southampton,southampton,https://api.sofascore.app/api/v1/team/45/image,Premier League,2019/2020
38,Chelsea,chelsea,https://api.sofascore.app/api/v1/team/38/image,Premier League,2019/2020
15,Sheffield United,sheffield-united,https://api.sofascore.app/api/v1/team/15/image,Premier League,2019/2020
6,Burnley,burnley,https://api.sofascore.app/api/v1/team/6/image,Premier League,2019/2020
48,Everton,everton,https://api.sofascore.app/api/v1/team/48/image,Premier League,2019/2020
39,Newcastle United,newcastle-united,https://api.sofascore.app/api/v1/team/39/image,Premier League,2019/2020
24,Watford,watford,https://api.sofascore.app/api/v1/team/24/image,Premier League,2019/2020
44,Liverpool,liverpool,https://api.sofascore.app/api/v1/team/44/image,Premier League,2019/2020
34,Leeds United,leeds-united,https://api.sofascore.app/api/v1/team/34/image,Premier League,2020/2021
43,Fulham,fulham,https://api.sofascore.app/api/v1/team/43/image,Premier League,2020/2021
8,West Bromwich Albion,west-bromwich-albion,https://api.sofascore.app/api/v1/team/8/image,Premier League,2020/2021
50,Brentford,brentford,https://api.sofascore.app/api/v1/team/50/image,Premier League,2021/2022
14,Nottingham Forest,nottingham-forest,https://api.sofascore.app/api/v1/team/14/image,Premier League,2022/2023
72,Luton Town,luton-town,https://api.sofascore.app/api/v1/team/72/image,Premier League,2023/2024
32,Ipswich Town,ipswich-town,https://api.sofascore.app/api/v1/team/32/image,Premier League,2024/2025
2829,Real Madrid,real-madrid,https://api.sofascore.app/api/v1/team/2829/image,LaLiga,2019/2020
